Unnamed: 0,branch_smiles,id2mof,metal_node,mof_index,organic_core,randomized,topology,train/test
2,O=S(=O)(O)Cc1nn([Lr])c(CS(=O)(=O)O)c1-c1c(CS(=O)(=O)O)nn([Lr])c1C(S(=O)(=O)O)(S(=O)(=O)O)S(=O)(=O)O,0,sym_7_mc_4,18.0,None,False,acs,1
6,O=C(O)CSC1=C([Lr])C(SCC(=O)O)=C2C(SC(C(=O)O)C(=O)O)=C([Lr])C(SC(C(=O)O)C(=O)O)=C1C(C(=O)O)C2C(=O)O,0,sym_7_mc_4,75.0,None,False,acs,1
13,O=C(O)c1c([Lr])cccc1N1C(C(=O)O)N(c2ccc([Lr])c(C(=O)O)c2C(=O)O)C(C(=O)O)C(C(=O)O)(C(=O)O)C1C(=O)O,0,sym_7_mc_4,160.0,None,False,acs,1
22,O=S(=O)(O)c1c(-c2ccc([Lr])c(S(=O)(=O)O)c2S(=O)(=O)O)ccnc1-c1ccc([Lr])c(S(=O)(=O)O)c1S(=O)(=O)O,0,sym_7_mc_4,243.0,None,False,acs,1
23,O=C(O)c1cc(-c2[nH]c(-c3c(C(=O)O)c([Lr])nc(C(=O)O)c3C(=O)O)cc2C(=O)O)ccc1C(C(=O)O)C([Lr])C(=O)O,0,sym_7_mc_4,252.0,None,False,acs,1
25,O=S(=O)(O)c1c(C(C[Lr])(S(=O)(=O)O)S(=O)(=O)O)cccc1C(C(O[Lr])S(=O)(=O)O)(S(=O)(=O)O)S(=O)(=O)O,0,sym_7_mc_4,271.0,None,False,acs,1
28,O=S(O)C1=C(c2cc(S(=O)O)cc([Lr])c2S(=O)O)CC(C(C(c2cnc([Lr])c(S(=O)O)c2)S(=O)O)S(=O)O)=C1S(=O)O,0,sym_7_mc_4,297.0,None,False,acs,1
31,O=P(O)(O)OC1=C(c2ccc([Lr])cc2OP(=O)(O)O)C(OP(=O)(O)O)=C1c1cc(OP(=O)(O)O)c([Lr])cc1OP(=O)(O)O,0,sym_7_mc_4,338.0,None,False,acs,1
32,O=P(O)(O)Oc1nn([Lr])cc1C1=CC=C(c2c(OP(=O)(O)O)nn([Lr])c2OP(=O)(O)O)C(OP(=O)(O)O)C1OP(=O)(O)O,0,sym_7_mc_4,342.0,None,False,acs,1
33,Cc1c(-c2ccc([Lr])c(C=O)c2)c(C(C=O)C=O)c(C(C=O)C=O)c(-c2cc(C=O)c([Lr])c(C=O)c2C=O)c1C(C=O)C=O,0,sym_7_mc_4,363.0,None,False,acs,1
35,S/C(=C\[Lr])c1ccc(-c2c3c(S)c(S)c(S)cc3c(-c3cc(S)c(/C(S)=C(\S)[Lr])c(S)c3)c3c(S)ccc(S)c23)cc1,0,sym_7_mc_4,373.0,None,False,acs,1
37,CC(C(C=C(C([Lr])S(=O)(=O)O)S(=O)(=O)O)C([Lr])S(=O)(=O)O)(N(S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O,0,sym_7_mc_4,385.0,None,False,acs,1
41,O=C=Nc1c(N=C=O)c(-c2nc3ccc([Lr])cc3n2N=C=O)c(N=C=O)c(N=C=O)c1-c1nc2cc([Lr])cc(N=C=O)c2[nH]1,0,sym_7_mc_4,447.0,None,False,acs,1
42,O=S(O)CC(C(CC(C[Lr])(S(=O)O)S(=O)O)C(CC([Lr])(S(=O)O)S(=O)O)(S(=O)O)S(=O)O)N(S(=O)O)S(=O)O,0,sym_7_mc_4,465.0,None,False,acs,1
44,O=P(O)(O)O/C(=C\Sc1cc(OP(=O)(O)O)c([Lr])cc1OP(=O)(O)O)c1ccc([Lr])c(OP(=O)(O)O)c1OP(=O)(O)O,0,sym_7_mc_4,476.0,None,False,acs,1
48,O=P(O)(O)OOc1cc(-c2nnc(-c3c(OP(=O)(O)O)c(O)c([Lr])c(OOP(=O)(O)O)c3OOP(=O)(O)O)nn2)ccc1[Lr],0,sym_7_mc_4,512.0,None,False,acs,1
53,O=S1(=O)c2c(ccc([Lr])c2-c2cc(O)cc(O)c2)-c2c(-c3cc(O)cc(O)c3)cc([Lr])c(-c3cc(O)cc(O)c3)c21,0,sym_7_mc_4,565.0,None,False,acs,0
55,Oc1cc(O)cc(-c2cc(-n3nnc(-c4cc(-c5cc(O)cc(O)c5)c([Lr])c(-c5cc(O)cc(O)c5)n4)n3)ccc2[Lr])c1,0,sym_7_mc_4,627.0,None,False,acs,1
57,O=C(O)/C([Lr])=C(/C(=O)O)c1c2ccccc2c(/C=C(/[Lr])C(=O)O)c2c(C(=O)O)cc(C(=O)O)c(C(=O)O)c12,0,sym_7_mc_4,632.0,None,False,acs,1
58,O=P(O)(O)OOc1c(-c2nnc(-c3cc(OP(=O)(O)O)c([Lr])cc3OP(=O)(O)O)nn2)cc(OP(=O)(O)O)c([Lr])c1O,0,sym_7_mc_4,651.0,None,False,acs,1
59,O=C=NOc1nn([Lr])cc1-c1cc(-c2cc(N=C=O)c(-c3cnn([Lr])c3)c(N=C=O)c2)c(N=C=O)c(N=C=O)c1N=C=O,0,sym_7_mc_4,655.0,None,False,acs,1
60,C#CCN(CCC(C(=O)O)(C(=O)O)C(C(=O)O)(C(=O)O)C(O[Lr])(C(=O)O)C(=O)O)C(C(=O)O)C([Lr])C(=O)O,0,sym_7_mc_4,665.0,None,False,acs,1
61,Oc1cc(O)cc(-c2cc(OC([Lr])c3cc(O)cc(O)c3)c3c(c2[Lr])C(c2cc(O)cc(O)c2)C3c2cc(O)cc(O)c2)c1,0,sym_7_mc_4,667.0,None,False,acs,1
62,Oc1cc(O)cc(C([Lr])=Cc2ccc(C(=C([Lr])c3cc(O)cc(O)c3)c3cc(O)cc(O)c3)cc2-c2cc(O)cc(O)c2)c1,0,sym_7_mc_4,668.0,None,False,acs,1
63,O=S(O)c1cc([Lr])ccc1N1C(S(=O)O)C(c2c(S(=O)O)ccc([Lr])c2S(=O)O)C(S(=O)O)C1(S(=O)O)S(=O)O,0,sym_7_mc_4,693.0,None,False,acs,1
64,NC(=O)c1cc(N2C(C(N)=O)N(c3cccc([Lr])c3C(N)=O)C(C(N)=O)C2(C(N)=O)C(N)=O)c(C(N)=O)cc1[Lr],0,sym_7_mc_4,696.0,None,False,acs,1
65,O=S(O)c1cc(N2CC(S(=O)O)N(c3cc(S(=O)O)c(S(=O)O)c([Lr])c3S(=O)O)C2(S(=O)O)S(=O)O)ccc1[Lr],0,sym_7_mc_4,697.0,None,False,acs,1
67,Oc1cc(O)cc(-c2cc(CC(O[Lr])c3cc(O)cc(O)c3)c(-c3cc(O)cc(O)c3)c(-c3cc(O)cc(O)c3)c2[Lr])c1,0,sym_7_mc_4,728.0,None,False,acs,1
70,O=S(=O)(O)c1cc(C2=NN=NC(c3cc(S(=O)(=O)O)c([Lr])cc3S(=O)(=O)O)N=N2)c(S(=O)(=O)O)cc1[Lr],0,sym_7_mc_4,768.0,None,False,acs,1
71,NC(=O)C=C1N=C(C(N)=O)C(=C=O)C([Lr])=CN1C[SH]=C(C(N)=O)C1=C([Lr])C(=O)C(C(N)=O)N1C(N)=O,0,sym_7_mc_4,784.0,None,False,acs,1
73,O=C1C(c2cc(O)cc(O)c2)=C2C(=CC([Lr])=C2c2cc(O)cc(O)c2)c2cc(-c3cc(O)cc(O)c3)cc([Lr])c21,0,sym_7_mc_4,820.0,None,False,acs,1
74,BrCc1nn([Lr])c(C(Br)(Br)Br)c1-c1cc(Br)c(-c2ccc(-c3c(C(Br)Br)nn([Lr])c3CBr)cc2Br)cc1Br,0,sym_7_mc_4,840.0,None,False,acs,1
75,O=S(=O)(O)c1cc([Lr])c2c(c1[Lr])C(S(=O)(=O)O)C(S(=O)(=O)O)(S(=O)(=O)O)C(S(=O)(=O)O)C2,0,sym_7_mc_4,854.0,None,False,acs,1
