organic_core,metal_node,topology
None,sym_7_mc_4,acs
None,sym_8_mc_7,bcu
None,sym_8_mc_8,bcu
None,sym_8_mc_9,bcu
None,sym_16_mc_6,bcs
None,sym_16_mc_14,bcs
None,sym_10_mc_10,bct
sym_4_on_6,sym_3_mc_0,bor
sym_4_on_7,sym_3_mc_0,bor
sym_4_on_8,sym_3_mc_0,bor
sym_4_vae_107,sym_3_mc_0,bor
sym_4_vae_153,sym_3_mc_0,bor
sym_4_vae_2723,sym_3_mc_0,bor
sym_4_vae_645,sym_3_mc_0,bor
sym_3_on_0,sym_4_mc_1,bor
sym_3_on_1,sym_4_mc_1,bor
sym_3_on_2,sym_4_mc_1,bor
sym_3_on_5,sym_4_mc_1,bor
sym_3_vae_1001,sym_4_mc_1,bor
sym_3_vae_1168,sym_4_mc_1,bor
sym_3_vae_165,sym_4_mc_1,bor
sym_3_vae_1687,sym_4_mc_1,bor
sym_3_vae_192,sym_4_mc_1,bor
sym_3_vae_2082,sym_4_mc_1,bor
sym_3_vae_210,sym_4_mc_1,bor
sym_3_vae_251,sym_4_mc_1,bor
sym_3_vae_289,sym_4_mc_1,bor
sym_3_vae_337,sym_4_mc_1,bor
sym_3_vae_403,sym_4_mc_1,bor
sym_3_vae_45,sym_4_mc_1,bor
sym_3_vae_456,sym_4_mc_1,bor
sym_3_vae_561,sym_4_mc_1,bor
sym_3_vae_644,sym_4_mc_1,bor
sym_3_vae_724,sym_4_mc_1,bor
sym_3_vae_762,sym_4_mc_1,bor
sym_3_vae_BR429,sym_4_mc_1,bor
None,sym_9_mc_5,crs
sym_4_on_6,sym_3_mc_0,ctn
sym_4_on_7,sym_3_mc_0,ctn
sym_4_on_8,sym_3_mc_0,ctn
sym_4_vae_107,sym_3_mc_0,ctn
sym_4_vae_153,sym_3_mc_0,ctn
sym_4_vae_2723,sym_3_mc_0,ctn
sym_4_vae_645,sym_3_mc_0,ctn
sym_3_on_0,sym_4_mc_1,ctn
sym_3_on_1,sym_4_mc_1,ctn
sym_3_on_2,sym_4_mc_1,ctn
sym_3_on_5,sym_4_mc_1,ctn
sym_3_vae_1001,sym_4_mc_1,ctn
sym_3_vae_1168,sym_4_mc_1,ctn
sym_3_vae_165,sym_4_mc_1,ctn
sym_3_vae_1687,sym_4_mc_1,ctn
sym_3_vae_192,sym_4_mc_1,ctn
sym_3_vae_2082,sym_4_mc_1,ctn
sym_3_vae_210,sym_4_mc_1,ctn
sym_3_vae_251,sym_4_mc_1,ctn
sym_3_vae_289,sym_4_mc_1,ctn
sym_3_vae_337,sym_4_mc_1,ctn
sym_3_vae_403,sym_4_mc_1,ctn
sym_3_vae_45,sym_4_mc_1,ctn
sym_3_vae_456,sym_4_mc_1,ctn
sym_3_vae_561,sym_4_mc_1,ctn
sym_3_vae_644,sym_4_mc_1,ctn
sym_3_vae_724,sym_4_mc_1,ctn
sym_3_vae_762,sym_4_mc_1,ctn
sym_3_vae_BR429,sym_4_mc_1,ctn
sym_4_on_6,sym_4_mc_1,diab
sym_4_on_7,sym_4_mc_1,diab
sym_4_on_8,sym_4_mc_1,diab
sym_4_vae_107,sym_4_mc_1,diab
sym_4_vae_153,sym_4_mc_1,diab
sym_4_vae_2723,sym_4_mc_1,diab
sym_4_vae_645,sym_4_mc_1,diab
None,sym_12_mc_11,fcu
sym_4_on_6,sym_4_mc_1,lcsb
sym_4_on_7,sym_4_mc_1,lcsb
sym_4_on_8,sym_4_mc_1,lcsb
sym_4_vae_107,sym_4_mc_1,lcsb
sym_4_vae_153,sym_4_mc_1,lcsb
sym_4_vae_2723,sym_4_mc_1,lcsb
sym_4_vae_645,sym_4_mc_1,lcsb
sym_5_on_10,sym_5_mc_2,lvtb
sym_5_on_11,sym_5_mc_2,lvtb
sym_5_on_12,sym_5_mc_2,lvtb
sym_5_on_13,sym_5_mc_2,lvtb
sym_5_on_9,sym_5_mc_2,lvtb
sym_5_vae_1038,sym_5_mc_2,lvtb
sym_5_vae_1526,sym_5_mc_2,lvtb
sym_5_vae_196,sym_5_mc_2,lvtb
sym_5_vae_218,sym_5_mc_2,lvtb
sym_5_vae_298,sym_5_mc_2,lvtb
sym_5_vae_304,sym_5_mc_2,lvtb
sym_5_vae_317,sym_5_mc_2,lvtb
sym_5_vae_434,sym_5_mc_2,lvtb
sym_5_vae_70,sym_5_mc_2,lvtb
sym_5_vae_795,sym_5_mc_2,lvtb
sym_5_vae_84,sym_5_mc_2,lvtb
sym_5_vae_BR3264,sym_5_mc_2,lvtb
sym_5_vae_BR911,sym_5_mc_2,lvtb
sym_5_on_10,sym_5_mc_2,nbob
sym_5_on_11,sym_5_mc_2,nbob
sym_5_on_12,sym_5_mc_2,nbob
sym_5_on_13,sym_5_mc_2,nbob
sym_5_on_9,sym_5_mc_2,nbob
sym_5_vae_1038,sym_5_mc_2,nbob
sym_5_vae_1526,sym_5_mc_2,nbob
sym_5_vae_196,sym_5_mc_2,nbob
sym_5_vae_218,sym_5_mc_2,nbob
sym_5_vae_298,sym_5_mc_2,nbob
sym_5_vae_304,sym_5_mc_2,nbob
