C C
O O
B B
C#C C#[CH:1]
C#N C#[N:1]
C#N N#[CH:1]
C1=C=CCCC=1 C1=C=C[CH2:1]CC=1
C1=C=CCCC=1 C1=C=[CH:1]CCC=1
C1=CC1 C1=C[CH2:1]1
C1=CC1 C1=[CH:1]C1
C1=CC1 C1=[CH:1][CH2:1]1
C1=CC1 C1[CH:1]=[CH:1]1
C1=CC=C1 C1=C[CH:1]=C1
C1=CC=C1 C1=C[CH:1]=[CH:1]1
C1=CC=C1 C1=[CH:1][CH:1]=C1
C1=CC=CC=1 C1=CC=C[CH:1]=1
C1=CC=CC=1 C1=CC=[CH:1]C=1
C1=CC=CC=C1 C1=CC=[CH:1]C=C1
C1=CC=CC=C1 C1=CC=[CH:1][CH:1]=C1
C1=CC=CC=C1 C1=C[CH:1]=[CH:1]C=C1
C1=CC=CC=C1 C1=C[CH:1]=[CH:1][CH:1]=C1
C1=CC=CC=CC=1 C1=CC=CC=C[CH:1]=1
C1=CC=CC=CC=1 C1=CC=CC=[CH:1]C=1
C1=CC=CC=CC=1 C1=CC=C[CH:1]=CC=1
C1=CC=CC=CC=1 C1=CC=C[CH:1]=[CH:1]C=1
C1=CC=CC=CC=C1 C1=CC=C[CH:1]=CC=C1
C1=CC=CC=CC=C1 C1=CC=[CH:1][CH:1]=CC=C1
C1=CC=CCC=C1 C1=CC=C[CH2:1]C=C1
C1=CC=CCC=C1 C1=CC=[CH:1]CC=C1
C1=CC=CCC=C1 C1=CC=[CH:1][CH2:1]C=C1
C1=CC=CCC=C1 C1=CCC=C[CH:1]=C1
C1=CC=CCC=C1 C1=CCC=[CH:1]C=C1
C1=CC=CCC=C1 C1=CCC=[CH:1][CH:1]=C1
C1=CC=CCC=C1 C1=CC[CH:1]=[CH:1]C=C1
C1=CC=CCC=C1 C1=C[CH:1]=[CH:1]C=CC1
C1=CC=CCCC=1 C1=CC=CCC[CH:1]=1
C1=CC=CCCC=1 C1=CC=CC[CH2:1]C=1
C1=CC=CCCC=1 C1=CC=C[CH2:1]CC=1
C1=CC=CCCC=1 C1=CC=C[CH2:1][CH2:1]C=1
C1=CC=CCCC=1 C1=CC=[CH:1]CCC=1
C1=CC=CCCC=1 C1=CCCC=C[CH:1]=1
C1=CC=CCCC=1 C1=CCCC=[CH:1]C=1
C1=CC=CCCC=1 C1=CCC[CH:1]=[CH:1]C=1
C1=CC=CCCC=C1 C1=CC=C[CH2:1]CC=C1
C1=CC=CCCC=C1 C1=CC=C[CH2:1][CH2:1]C=C1
C1=CC=CCCC=C1 C1=CC=[CH:1]CCC=C1
C1=CC=CCCC=C1 C1=CCCC=C[CH:1]=C1
C1=CC=CCCC=C1 C1=CCCC=[CH:1]C=C1
C1=CC=CCCC=C1 C1=CCCC=[CH:1][CH:1]=C1
C1=CC=CNC=1 C1=CC=CN[CH:1]=1
C1=CC=CNC=1 C1=CC=[CH:1]NC=1
C1=CC=CNC=1 C1=CNC=C[CH:1]=1
C1=CC=CNC=1 C1=CNC=[CH:1]C=1
C1=CC=CNC=C1 C1=CC=C[NH:1]C=C1
C1=CC=CNC=C1 C1=CC=[CH:1]NC=C1
C1=CC=CNC=C1 C1=CNC=C[CH:1]=C1
C1=CC=CNC=C1 C1=CNC=[CH:1]C=C1
C1=CC=CNCC=C1 C1=CC=[CH:1]CNC=C1
C1=CC=CNCC=C1 C1=CC=[CH:1]NCC=C1
C1=CC=CNCC=C1 C1=CCNC=C[CH:1]=C1
C1=CC=CNCC=C1 C1=CCNC=[CH:1]C=C1
C1=CC=CNCC=C1 C1=CCN[CH:1]=[CH:1]C=C1
C1=CC=CNCC=C1 C1=CNCC=C[CH:1]=C1
C1=CC=CNCC=C1 C1=CNCC=[CH:1]C=C1
C1=CC=CNCC=C1 C1=CNC[CH:1]=[CH:1]C=C1
C1=CC=COC=C1 C1=CC=[CH:1]OC=C1
C1=CC=COC=C1 C1=COC=C[CH:1]=C1
C1=CC=COC=C1 C1=COC=[CH:1]C=C1
C1=CC=COC=C1 C1=COC=[CH:1][CH:1]=C1
C1=CC=COC=C1 C1=CO[CH:1]=[CH:1]C=C1
C1=CC=COC=C1 C1=C[CH:1]=[CH:1]C=CO1
C1=CC=CSC=C1 C1=CC=[CH:1]SC=C1
C1=CC=CSC=C1 C1=CSC=C[CH:1]=C1
C1=CC=CSC=C1 C1=CSC=[CH:1]C=C1
C1=CC=CSC=C1 C1=CS[CH:1]=[CH:1]C=C1
C1=CC=CSC=C1 C1=C[CH:1]=[CH:1]C=CS1
C1=CC=NC=C1 C1=CC=[CH:1]N=C1
C1=CC=NC=C1 C1=CN=C[CH:1]=C1
C1=CC=NC=C1 C1=CN=[CH:1]C=C1
C1=CC=NC=C1 C1=CN=[CH:1][CH:1]=C1
C1=CC=NC=C1 C1=C[CH:1]=CC=N1
C1=CC=NC=C1 C1=C[CH:1]=CN=C1
C1=CC=NC=C1 C1=C[CH:1]=[CH:1]C=N1
C1=CC=NC=C1 C1=C[CH:1]=[CH:1]N=C1
C1=CC=NC=C1 C1=NC=C[CH:1]=C1
C1=CC=NC=C1 C1=NC=[CH:1][CH:1]=C1
C1=CC=NCNC=C1 C1=CC=NC[NH:1]C=C1
C1=CC=NCNC=C1 C1=CC=N[CH2:1]NC=C1
C1=CC=NCNC=C1 C1=CC=N[CH2:1][NH:1]C=C1
C1=CC=NCNC=C1 C1=CC=[CH:1]NCN=C1
C1=CC=NCNC=C1 C1=CNCN=C[CH:1]=C1
C1=CC=NCNC=C1 C1=CNCN=[CH:1]C=C1
C1=CC=NCNC=C1 C1=C[CH:1]=CC=NCN1
C1=CC=NCNC=C1 C1=C[CH:1]=CNCN=C1
C1=CC=NN=C1 C1=C[CH:1]=NN=C1
C1=CC=NN=C1 C1=NN=C[CH:1]=C1
C1=CC=NN=C1 C1=NN=C[CH:1]=[CH:1]1
